,index,titelId,title,averageRating,numVotes
281,292,tt0000684,'Father Gets in the Game',5.1,75
282,293,tt0000689,'For Love of Gold',6.6,16
283,294,tt0000699,'The Helping Hand',6.0,8
284,296,tt0000709,'Julius Caesar',5.7,33
285,297,tt0000713,'The King\'s Messenger',6.0,6
286,298,tt0000717,Macbeth,5.6,9
287,299,tt0000722,'Maria Marten',5.4,7
288,300,tt0000724,'The Merchant of Venice',5.2,32
289,301,tt0000727,'Monday Morning in a Coney Island Police Court',6.2,9
290,302,tt0000728,'Money Mad',5.9,93
291,303,tt0000734,Othello,4.2,6
292,304,tt0000741,'The Planter\'s Wife',5.0,8
293,305,tt0000748,'The Red Man and the Child',5.9,13
294,306,tt0000749,'Rescued from an Eagle\'s Nest',5.7,661
295,307,tt0000750,'Richard III',7.0,7
296,308,tt0000752,'Romance of a Jewess',5.4,92
297,309,tt0000754,'Romeo and Juliet',7.1,41
298,310,tt0000755,'Le rve d\'un fumeur d\'opium',5.7,165
299,311,tt0000756,'The Sculptor\'s Nightmare',5.4,87
300,312,tt0000758,'Sherlock Holmes i Livsfare',6.2,17
301,313,tt0000759,'Sherlock Holmes II',7.9,8
302,314,tt0000764,'The Song of the Shirt',5.7,103
303,315,tt0000769,'Le tambourin fantastique',5.3,123
304,316,tt0000770,'The Taming of the Shrew',5.4,104
305,317,tt0000771,'The Tavern Keeper\'s Daughter',5.9,12
306,318,tt0000775,'Trop crdules',7.2,8
307,319,tt0000776,'Gli ultimi giorni di Pompeii',5.8,72
308,320,tt0000778,'The Valet\'s Wife',6.5,6
309,321,tt0000781,'The Viking\'s Daughter: The Story of the Ancient Norsemen',6.6,10
310,322,tt0000782,'A Visit to the Seaside',7.3,15
311,323,tt0000790,'The Airship Destroyer',6.2,292
312,324,tt0000793,'Andreas Hofer',5.0,7
313,325,tt0000797,'At the Altar',5.3,95
314,326,tt0000801,'A Baby\'s Shoe',5.4,16
315,327,tt0000809,'Bill Sharkey\'s Last Game',6.2,22
316,328,tt0000817,'Et budskab til Napoleon paa Elba',3.9,10
317,329,tt0000821,'The Cardinal\'s Conspiracy',4.7,68
318,330,tt0000825,'The Children\'s Friend',4.8,12
319,332,tt0000828,Confidence,5.3,57
320,333,tt0000831,'The Cord of Life',5.2,83
321,334,tt0000832,'A Corner in Wheat',6.6,2172
322,335,tt0000833,'The Country Doctor',6.4,554
323,336,tt0000835,'The Cricket on the Hearth',5.1,92
324,337,tt0000840,'The Curtain Pole',5.5,259
325,338,tt0000841,'The Day After',5.2,30
326,339,tt0000843,'The Death Disc: A Story of the Cromwellian Period',5.7,10
327,340,tt0000844,'Smert Ioanna Groznogo',5.5,10
328,341,tt0000847,'Don Juan heiratet',5.9,8
329,342,tt0000848,'La toile d\'araigne merveilleuse',5.6,13
330,343,tt0000852,'A Drunkard\'s Reformation',5.8,172
331,344,tt0000854,'Edgar Allan Poe',6.0,412
332,345,tt0000857,'Eradicating Aunty',4.9,9
333,346,tt0000870,'A Fool\'s Revenge',5.1,14
334,347,tt0000873,'Bakchisarayskiy fontan',5.8,6
335,348,tt0000875,'The Friend of the Family',4.9,9
336,349,tt0000877,'Getting Even',4.8,55
337,350,tt0000878,'The Gibson Goddess',4.9,123
338,351,tt0000882,'The Golden Louis',5.8,151
339,352,tt0000884,'Grevinde X',4.4,7
340,353,tt0000886,Hamlet,5.0,23
341,354,tt0000887,'Hansel and Gretel',4.6,26
342,355,tt0000891,'Heksen og cyklisten',5.3,26
343,356,tt0000892,'Her First Biscuits',5.6,42
344,357,tt0000895,'The Hessian Renegades',5.6,153
345,358,tt0000905,'I Did It',5.5,6
346,359,tt0000908,'In Old Kentucky',5.9,13
347,360,tt0000912,'The Indian Runner\'s Romance',4.4,37
348,361,tt0000916,'Je voudrais un enfant',6.1,48
349,362,tt0000922,'The Joneses Have Amateur Theatricals',5.6,79
350,363,tt0000924,'Les joyeux microbes',6.1,129
351,364,tt0000929,'Klebolin klebt alles',5.4,34
352,365,tt0000932,'En kvinde af folket',3.9,7
353,366,tt0000934,'Leather Stocking',4.8,8
354,367,tt0000935,'The Light That Came',6.2,66
355,368,tt0000938,'The Little Darling',4.5,147
356,369,tt0000941,'Locura de amor',4.6,14
357,370,tt0000942,'The Lonely Villa',6.1,828
358,371,tt0000945,'Lucky Jim',4.6,51
359,372,tt0000946,'The Lure of the Gown',4.5,54
360,373,tt0000950,Macbeth,4.8,9
361,374,tt0000957,'Mariage forc',6.3,39
362,375,tt0000960,'The Mended Lute',4.6,236
363,376,tt0000966,'A Midsummer Night\'s Dream',5.7,295
364,377,tt0000969,'Les Misrables',6.1,11
365,378,tt0000970,Molire,5.9,60
366,379,tt0000971,'Le Moulin maudit',6.3,127
367,380,tt0000975,'Mr. Jones\' Burglar',5.7,7
368,383,tt0000986,'Nursing a Viper',5.1,88
369,384,tt0000987,'Naar Djvle er paa Spil',7.8,6
370,385,tt0000988,'Den nrsynede guvernante',4.3,10
371,386,tt0000990,'Oliver Twist',6.0,47
372,387,tt0000998,Otello,5.6,12
