,title,averageRating,numVotes
4662,'Highway Dragnet',6.3,574
4666,'Hobson\'s Choice',7.7,6590
4671,'Human Desire',7.1,4455
4683,'Inauguration of the Pleasure Dome',7.1,1798
4686,'An Inspector Calls',7.5,3225
4690,'It Should Happen to You',7.2,3394
4694,'Jail Bait',3.6,2360
4701,'Johnny Guitar',7.7,15631
4707,'Karius og Baktus',7.7,1096
4711,'Killers from Space',3.4,1962
4712,'King Richard and the Crusaders',5.6,703
4714,'Knock on Wood',6.8,932
4721,'The Last Time I Saw Paris',6.2,3411
4726,'En lektion i krlek',7.0,2926
4736,'A Life at Stake',5.8,593
4740,'Little School Mouse',7.9,620
4742,'Living It Up',6.7,1456
4745,'Long John Silver',5.8,683
4748,'Lucky Me',6.1,654
4751,'Ma and Pa Kettle at Home',7.1,543
4753,'Mad About Men',6.3,504
4754,'The Mad Magician',6.5,1482
4756,'Magnificent Obsession',7.1,6060
4761,'Man in the Attic',6.2,1342
4763,'Manhunt in Space',2.3,514
4767,'Marcelino pan y vino',7.1,2106
4778,'Men of the Fighting Lady',6.3,525
4780,'Mice Follies',7.9,762
4783,'Miseria e nobilt',7.7,1585
4792,'Le mouton  cinq pattes',6.7,535
4798,'Mdchenjahre einer Knigin',6.5,805
4800,'Naked Alibi',6.5,860
4801,'The Naked Jungle',6.8,3612
4809,'Neapolitan Mouse',6.9,541
4811,'The Night My Number Came Up',7.1,943
4812,'Night People',6.5,1039
4813,'Nijshi no hitomi',8.1,2240
4824,'On the Waterfront',8.1,142020
4826,'One Good Turn',6.6,550
4832,'L\'oro di Napoli',7.3,1536
4850,'La paura',6.6,1181
4851,'Non credo pi all\'amore (La paura)',6.6,1181
4856,'Pet Peeve',7.8,644
4858,'Phantom of the Rue Morgue',5.9,756
4859,Phffft,6.6,1377
4868,'Posse Cat',7.3,522
4871,'Prince Valiant',6.2,2417
4875,'Private Hell 36',6.7,1274
4879,'Puppy Tale',7.6,564
4880,'The Purple Plain',6.5,1890
4881,Pushover,7.1,2652
4890,'The Raid',6.8,831
4897,'Rear Window',8.4,443879
4905,Rhapsody,6.2,937
4907,'Ride Clear of Diablo',6.9,1013
4909,'Riding Shotgun',6.5,927
4913,'Riot in Cell Block 11',7.0,1699
4916,'River of No Return',6.6,10490
4918,'Rogue Cop',6.6,834
4924,'Le rouge et le noir',6.7,559
4925,'The Runaway Bus',6.3,571
4926,'El ro y la muerte',6.8,727
4927,Sabrina,7.7,59388
4930,'Salt of the Earth',7.4,3102
