,title,averageRating,numVotes,id,revenue,release_date,percent_of_max_revenue,percent_of_max_review
287,'Star Trek IV: The Voyage Home',7.3,78931,168,133000000.0,1986-11-25,0.73,0.08752545666390563
241,'The Color Purple',7.8,78280,873,146292009.0,1985-12-18,0.78,0.09627274356394881
412,Centurion,6.4,78269,23759,6814789.0,2010-02-15,0.64,0.004484718190174141
524,'Legend of the Guardians: The Owls of Ga\'Hoole',6.9,77798,41216,140073390.0,2010-07-10,0.6900000000000001,0.09218035658805528
411,'Eden Lake',6.8,76826,13510,3983997.0,2008-09-12,0.6799999999999999,0.002621813208816767
292,Bloodsport,6.8,76821,11690,11806119.0,1988-02-26,0.6799999999999999,0.007769443284988066
295,'Fatal Attraction',6.9,76617,10998,320145693.0,1987-09-11,0.6900000000000001,0.2106834434496807
213,'Conan the Destroyer',5.9,76034,9610,100000000.0,1984-06-29,0.5900000000000001,0.06580861403301175
193,'The Outsiders',7.1,75533,227,33697647.0,1983-03-25,0.71,0.022175954452436763
481,Beastly,5.6,75461,38117,43165571.0,2011-01-21,0.5599999999999999,0.02840666401453565
87,'The Hustler',8.0,75049,990,7600000.0,1961-09-25,0.8,0.005001454666508893
269,'The Color of Money',7.0,74863,11873,52293982.0,1986-10-07,0.7,0.03441394477687264
235,'Star Trek III: The Search for Spock',6.7,74797,157,87000000.0,1984-05-31,0.67,0.05725349420872022
547,'Sex and the City 2',4.5,74335,37786,288347692.0,2010-05-26,0.45,0.1897576197013775
525,'The Fourth Kind',5.9,73764,22824,42333295.0,2009-11-06,0.5900000000000001,0.02785895471400626
150,'Star Trek',8.3,73444,13475,385680446.0,2009-05-06,0.8300000000000001,0.2538109561089383
252,'Out of Africa',7.2,72774,606,128499205.0,1985-12-20,0.72,0.08456354585393853
507,'Enter the Void',7.3,71108,34647,754249.0,2009-05-05,0.73,0.0004963608132578508
101,'The Manchurian Candidate',7.9,71108,14462,96105964.0,2004-07-30,0.79,0.06324600291146522
459,'Seventh Son',5.5,71055,68737,114178613.0,2014-12-12,0.55,0.07513936273741617
305,'A Nightmare on Elm Street 3: Dream Warriors',6.6,70994,10072,44793222.0,1987-02-27,0.6599999999999999,0.029477798578930105
217,Footloose,6.6,70331,1788,80035402.0,1984-02-17,0.6599999999999999,0.05267018879194937
438,Quarantine,5.9,70259,13812,40855419.0,2008-10-10,0.5900000000000001,0.026886385001279746
136,'Doctor Zhivago',8.0,69873,907,111858363.0,1965-12-22,0.8,0.07361243837031523
88,'Judgment at Nuremberg',8.2,69420,821,10000000.0,1961-12-01,0.82,0.006580861403301175
234,Splash,6.3,69252,2619,69821334.0,1984-03-09,0.63,0.04594845220476
575,Oldboy,5.7,69000,670,14980005.0,2003-01-01,0.5700000000000001,0.009858133672575861
100,'The Man Who Shot Liberty Valance',8.1,68802,11697,8000000.0,1962-04-22,0.8099999999999999,0.005264689122640939
500,'Ninja Assassin',6.3,68221,22832,60462347.0,2009-09-29,0.63,0.03978943257253026
583,Frozen,6.1,67929,109445,1274219009.0,2013-11-27,0.61,0.8385458695680772
623,'The Hunt',6.5,67206,103663,16800000.0,2012-08-28,0.65,0.011055847157545973
501,Agora,7.2,66029,26428,39041505.0,2009-05-17,0.72,0.025692673338128982
403,'Child 44',6.5,66001,181283,3324330.0,2015-03-15,0.65,0.0021876954988836192
277,'Little Shop of Horrors',7.0,65970,10776,38748395.0,1986-12-19,0.7,0.02549978170953682
573,'Gulliver\'s Travels',4.9,65652,38745,237382724.0,2010-12-25,0.49000000000000005,0.15621828061820955
326,'Dangerous Liaisons',7.6,64536,859,34670720.0,1988-12-16,0.76,0.02281632030726621
200,'Superman III',5.0,64225,9531,75850624.0,1983-06-17,0.5,0.049916244389790976
532,'The Debt',6.8,64060,48289,45636368.0,2010-04-11,0.6799999999999999,0.03003266127580488
492,'Whip It',6.9,63955,22798,16633035.0,2009-09-13,0.6900000000000001,0.010945969805125756
374,Arachnophobia,6.4,63336,6488,53208180.0,1990-08-09,0.64,0.03501556581019015
368,'Road House',6.6,63325,10135,30050028.0,1989-05-19,0.6599999999999999,0.01977550694333196
243,'Day of the Dead',7.2,63285,8408,34000000.0,1985-07-19,0.72,0.022374928771223993
538,Aloha,5.4,62589,222936,26250020.0,2015-05-27,0.54,0.01727477434538839
184,'The Dead Zone',7.2,62443,11336,20766616.0,1983-10-21,0.72,0.013666222171157663
364,'Major League',7.2,62056,9942,49797148.0,1989-02-16,0.72,0.03277081292676763
191,'Never Say Never Again',6.2,61996,36670,160000000.0,1983-10-07,0.62,0.1052937824528188
251,'A Nightmare on Elm Street Part 2: Freddy\'s Revenge',5.5,61683,10014,29999213.0,1985-10-31,0.55,0.019742066296111083
562,'The Boondock Saints II: All Saints Day',6.3,61500,22821,10629321.0,2009-11-24,0.63,0.006995008831219864
246,'Fright Night',7.1,61460,58151,24922237.0,2011-08-18,0.71,0.016400978755722447
517,'Brooklyn\'s Finest',6.7,60874,26390,29536299.0,2009-01-16,0.67,0.01943742900854631
511,'Observe and Report',5.8,60855,16991,24007324.0,2009-04-10,0.58,0.015798887190814598
548,'The Devil\'s Double',7.1,60181,62630,5728213.0,2011-02-11,0.71,0.003769657584158803
249,Legend,6.5,59887,276907,42972994.0,2015-09-09,0.65,0.028279931759889295
469,Takers,6.2,57995,22907,69055695.0,2010-08-26,0.62,0.04544459579036379
452,'The Darkest Hour',4.9,57846,71469,64626786.0,2011-12-22,0.49000000000000005,0.04252999216068047
379,'Dick Tracy',6.1,57638,8592,103738726.0,1990-06-15,0.61,0.0682690177961036
528,Zookeeper,5.2,57478,38317,169852759.0,2011-07-06,0.52,0.11177774659473162
582,'Going the Distance',6.3,56611,38073,42045846.0,2010-09-01,0.63,0.02766978851105451
195,'The Right Stuff',7.8,56222,9549,21500000.0,1983-10-20,0.78,0.014148852017097525
370,'Star Trek V: The Final Frontier',5.5,56043,172,70200000.0,1989-06-09,0.55,0.04619764705117425
436,'Race to Witch Mountain',5.7,55818,13836,106303988.0,2009-03-12,0.5700000000000001,0.06995718116461912
437,'Jonah Hex',4.7,55400,20533,10539000.0,2010-06-18,0.47000000000000003,0.006935569832939108
